TotalLength_cm,StandardLength_cm,Weight_g
7.02,5.12,7.08
7.42,5.35,6.11
6.77,4.7,5.46
8.15,6.17,8.77
6.79,5.14,4.83
7.1,5.2,7.06
6.95,5.25,5.65
7,5.36,5.51
7.1,5.1,6.94
7.03,5.67,6.93
6.66,4.82,4.86
7.57,5.44,6.57
7.13,5.26,6.36
6.77,5,5.72
6.86,5.08,5.67
7.4,5.33,7.23
7.2,5.2,6.98
7.03,4.93,6.04
7.2,5.37,6.38
7.3,5.13,6.7
7.18,5.18,6.09
7.3,5.27,6.82
7.2,5.37,6.92
6.55,4.81,5.53
6.7,4.73,5.03
7.5,5.53,7.24
7.06,5.07,5.76
7.2,5.34,6.28
7.3,5.2,6.18
7.62,5.5,7.03
6.98,5.03,6.37
6.8,4.9,6.11
7,4.88,5.7
8.8,6.4,13
8.4,6.4,10.2
8.45,6.4,9.9
8.6,6.4,10.2
8.7,6.4,10
8.6,6.5,12.9
8.55,6.5,11
10.8,6.5,26.5
8.6,6.5,12
8.5,6.5,11.4
8.5,6.5,11.4
8.7,6.5,10.6
99.25,6.5,8
8.65,6.5,9
8.8,6.5,8.5
8.8,6.5,12.8
8.8,6.5,12.1
8.7,6.5,10.1
8.65,6.5,9
8.8,6.5,8.5
8.8,6.5,12.8
8.8,6.5,12.1
8.7,6.5,10.1
8.4,6.5,8.7
8.5,6.5,12.1
8.45,6.5,10.2
8.7,6.5,10.9
8.6,6.55,12.3
9,6.55,12.7
8.5,6.55,12.5
8.5,6.55,12.5
9,6.55,11.45
8.75,6.55,12.2
9.1,6.55,8.9
8.9,6.6,11.5
8.9,6.6,11.9
8.9,6.6,11.9
8.6,6.6,7.7
8.5,6.6,16
8.65,6.65,11.2
8.8,6.7,10.9
9,6.7,12
8.8,6.7,10.8
8.9,6.7,10.5
9,6.7,3.2
8.75,6.7,10.9
8.95,6.7,11.7
8.9,6.7,10.5
9,6.7,3.2
8.75,6.7,10.9
8.95,6.7,11.7
9.2,6.7,11.7
8.7,6.7,12.9
8.6,6.7,12.1
8.8,6.7,12.7
9.1,6.75,12.7
9.1,6.75,12.7
8.9,6.8,11.4
9,6.8,12.7
9,6.8,12.5
8.95,6.8,12.3
8.95,6.8,13.4
9,6.8,13.1
8.15,6.8,6.8
9.5,6.8,10.1
9,6.8,13.5
8.8,6.8,12.5
9.2,6.8,13.4
8.15,6.8,6.8
9.5,6.8,10.1
9,6.8,13.5
8.05,6.8,9.3
8.8,6.8,12.5
9.2,6.8,13.4
9.15,6.8,14.5
8.9,6.8,12.7
9.05,6.8,15.9
8.9,6.8,12.6
7.5,6.8,18.6
9.05,6.85,14.6
9.15,6.85,14.9
9.2,6.85,13.9
9,6.85,12.4
9.4,6.85,14
9,6.9,14.3
9,6.9,12.6
9.15,6.9,13.9
8.8,6.9,12.9
9.2,6.9,12.1
9.5,6.9,15.9
9.05,6.9,12.2
9.2,6.9,12.1
9.5,6.9,15.9
9.05,6.9,12.2
9.3,6.9,14
9.15,6.95,13.1
9.1,6.95,14.4
9.3,6.95,14
9.2,6.95,11
9.2,6.95,11
9.6,6.95,14.6
9,6.95,13.6
9.05,7,13.7
9.15,7,12.6
9.4,7,13.6
9.2,7,16.9
9.55,7,13.9
9.7,7,11.3
9.6,7,11.7
9.3,7,15
9.1,7,15.5
9.15,7,13.3
9.1,7,13.8
9.05,7,14.7
9.7,7,11.3
9.6,7,11.7
9.3,7,15
9.1,7,15.5
9.15,7,13.3
9.1,7,13.8
9.05,7,14.7
9.35,7,14
9.6,7,18.7
9.1,7,15.5
9.1,7,14.5
9.3,7,15.6
9.3,7.05,14.3
9.8,7.05,15.2
9.8,7.05,15.2
10,7.1,21.3
9.6,7.1,16.4
9.45,7.1,15.5
9.1,7.1,12.3
9.5,7.1,11.6
9.4,7.1,13.1
9.5,7.1,11.6
8.4,7.1,13.1
9.5,7.1,16.1
9.5,7.1,15.4
9.3,7.1,14.6
9.2,7.1,11.8
9.5,7.1,16.3
9.5,7.1,13.6
9.5,7.15,10.7
9.5,7.15,10.7
9.65,7.15,17.7
9.95,7.15,18
9.3,7.2,13.1
10.9,7.2,23
9.3,7.2,13.5
9.5,7.2,15.1
9.75,7.2,12.1
9.5,7.2,16.3
9.65,7.2,14.6
9.5,7.2,13.2
9.6,7.2,14.9
9.5,7.2,13.4
9.75,7.2,12.1
9.5,7.2,16.3
9.65,7.2,14.6
9.5,7.2,13.2
9.6,7.2,14.9
9.5,7.2,19.4
9.75,7.2,13.6
9.7,7.2,16.5
9.2,7.2,14
9.3,7.2,15.2
9.4,7.2,17.4
9.3,7.2,14.9
9.4,7.2,16.6
9.1,7.2,15.8
9.4,7.2,14.7
10,7.2,16.5
9.6,7.2,14.4
9.5,7.2,17.4
9.5,7.2,15.9
9.6,7.2,16.9
9.4,7.2,14.2
9.8,7.2,15.6
9.2,7.2,13.4
9.5,7.2,14.8
9.8,7.25,17.3
9.8,7.25,17.5
9.8,7.25,13.3
9.6,7.25,13.1
9.5,7.25,16.6
9.6,7.25,13.1
9.5,7.25,16.6
9.7,7.25,13.2
9.25,7.25,15.2
8.4,7.3,15.8
9.2,7.3,16.4
11.5,7.3,31
9.3,7.3,14.5
9.7,7.3,17.8
9.65,7.3,15.7
9.5,7.3,15.2
9.7,7.3,17.8
9.65,7.3,15.1
9.5,7.3,15.2
9.5,7.3,12.2
9.65,7.3,16
9.5,7.3,15.5
9.8,7.3,15.1
10.1,7.3,14.9
9.5,7.3,15.1
9.8,7.3,14.8
9.9,7.3,16.6
9.9,7.3,19.2
9.7,7.3,16.7
9.5,7.3,14.1
9.5,7.3,15
9.6,7.3,16.1
9.5,7.35,14.3
9.65,7.35,16.3
9.85,7.35,18
9.75,7.35,15
9.9,7.35,13.5
9.75,7.35,15
9.9,7.35,13.5
9.8,7.35,13.2
9.75,7.35,17.6
8.6,7.4,13.2
10.4,7.4,24.5
9.6,7.4,16.9
9.2,7.4,17.3
9.7,7.4,18
10.4,7.4,14.3
10.45,7.4,24
10.4,7.4,14.3
10.45,7.4,24
10,7.4,13.7
9.9,7.4,16.3
9.2,7.4,15.8
9.8,7.4,16.1
9.6,7.4,14.2
9.4,7.4,14
9.9,7.4,15.8
9.7,7.4,14.7
9.9,7.45,17.6
9.9,7.45,16.7
9.95,7.45,16.9
9.95,7.45,19.1
9.8,7.5,16.3
9.8,7.5,20
9.6,7.5,17.1
9.95,7.5,16.7
11.5,7.5,27.8
9.5,7.5,15.8
10,7.5,17.8
9.8,7.5,17.6
9.8,7.5,16.4
10,7.5,16.5
10,7.5,15
10,7.5,13.3
10,7.5,15.2
10,7.5,13.5
10,7.5,15
10,7.5,13.3
10,7.5,15.2
10,7.5,15.5
9.4,7.5,15.5
9.8,7.5,17.1
9.9,7.5,13.8
9.8,7.5,14.3
9.9,7.5,15.7
9.9,7.5,11.6
9.8,7.5,16.8
10,7.5,16.4
9.5,7.5,21
10,7.5,16.2
9.85,7.5,19.2
9.8,7.5,19.9
10,7.55,17.1
10.15,7.55,18.4
9.95,7.6,17.8
9.5,7.6,15.1
9.8,7.6,17.5
10,7.6,17
10.1,7.6,16.9
10.1,7.6,15.4
10.2,7.6,14.7
9.2,7.65,16.9
10.15,7.65,16.4
10.15,7.65,20
10.1,7.7,17.5
10.1,7.7,19.5
9.9,7.7,18.8
10.2,7.7,21.9
10.2,7.7,17.8
10.2,7.7,17.8
9.5,7.7,15.1
9.9,7.7,18.8
10,7.7,15.7
10.2,7.7,10.6
10.2,7.7,15.4
10.2,7.75,17.3
10.25,7.75,15.9
11.5,7.75,15.4
10.35,7.75,22
10,7.8,18.6
10.2,7.8,18.4
10.3,7.8,20.5
10.25,7.8,20.3
10.1,7.8,19.5
10.3,7.8,20.4
10.2,7.8,18.8
10.5,7.8,20
10.5,7.8,20
10.05,7.8,15.5
10.3,7.8,18.8
9.9,7.8,17.4
10.2,7.8,17.3
10,7.8,11.8
10,7.8,20.9
10,7.8,19.2
10.3,7.85,14.9
10.2,7.9,17.8
10.25,7.9,22.8
10.5,7.9,23
10.45,7.9,18.1
10.5,7.9,16.5
10.45,7.9,18.1
10.5,7.9,16.5
10.3,7.9,17.9
10.2,7.9,22.1
10.1,7.9,14.7
10.35,7.95,22.9
10.6,7.95,18
10.7,7.95,21.5
10.45,7.95,20
10.6,7.95,18
10.7,7.95,21.5
10.45,7.95,20
10.55,7.95,20.5
11.75,8,25.7
10.65,8,24.1
10.75,8,29.2
10.6,8,21.5
10.2,8,19.4
10.4,8,19.4
10.6,8,22.8
10.6,8,17.7
10.9,8,18.5
10.6,8,22.8
10.6,8,17.7
10.9,8,18.5
10.2,8,18.9
10.5,8,18.6
10.7,8.05,23.5
10.2,8.05,22.7
10.95,8.05,25.5
10.4,8.05,21.1
10.7,8.1,27.3
10.65,8.1,22.7
10.75,8.1,25.6
11.1,8.1,26.2
10.5,8.1,21
10.6,8.1,19.3
10.9,8.1,22.1
11.3,8.1,27.6
10.5,8.15,22.5
10.75,8.15,24.7
10.7,8.15,16.4
10.7,8.15,16.4
12.35,8.2,38.3
10.3,8.2,19.6
11.15,8.2,28
10.7,8.2,21.7
10.7,8.2,21.7
11,8.2,25.6
10.4,8.2,19.1
11.1,8.2,22.3
10.1,8.2,19.1
10.8,8.25,27.4
10.6,8.25,21
11,8.25,25.6
10.4,8.25,21.5
10.85,8.25,15
10.85,8.25,22.2
10.6,8.25,18
10.4,8.25,21.5
10.85,8.25,15
10.85,8.25,22.2
10.6,8.25,18
10.95,8.25,26
